"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "HTML", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\eslint.config.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\package-lock.json", "JSON", 0, 6035, 0, 0, 0, 0, 0, 1, 6036
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\package.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 1, 40
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\CreateRoot.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 5, 18
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\Main.jsx", "JavaScript JSX", 0, 0, 52, 0, 0, 0, 0, 11, 63
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\assets\img\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\assets\style\base\_base.scss", "SCSS", 0, 0, 0, 0, 38, 0, 1, 7, 46
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\assets\style\base\_functions.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\assets\style\base\_layout.scss", "SCSS", 0, 0, 0, 0, 539, 0, 5, 258, 802
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\assets\style\base\_loader.scss", "SCSS", 0, 0, 0, 0, 60, 0, 0, 12, 72
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\assets\style\base\_mixins.scss", "SCSS", 0, 0, 0, 0, 249, 0, 13, 82, 344
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\assets\style\base\_typography.scss", "SCSS", 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\assets\style\base\_variables.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\assets\style\cmps\_create-modal.scss", "SCSS", 0, 0, 0, 0, 141, 0, 5, 63, 209
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\assets\style\cmps\_dialogue-modal.scss", "SCSS", 0, 0, 0, 0, 37, 0, 0, 15, 52
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\assets\style\cmps\_menu-modal.scss", "SCSS", 0, 0, 0, 0, 28, 0, 0, 12, 40
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\assets\style\cmps\_notifications.scss", "SCSS", 0, 0, 0, 0, 90, 0, 8, 37, 135
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\assets\style\cmps\_post-modal.scss", "SCSS", 0, 0, 0, 0, 129, 0, 2, 54, 185
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\assets\style\cmps\_search.scss", "SCSS", 0, 0, 0, 0, 110, 0, 6, 42, 158
