Date : 2025-02-02 03:09:06
Directory : c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend
Total : 68 files,  10768 codes, 166 comments, 1394 blanks, all 12328 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          2 |      6,074 |          0 |          2 |      6,076 |
| SCSS           |         25 |      2,463 |         81 |        980 |      3,524 |
| JavaScript JSX |         21 |      1,456 |         11 |        266 |      1,733 |
| JavaScript     |         18 |        761 |         74 |        145 |        980 |
| HTML           |          1 |         13 |          0 |          1 |         14 |
| XML            |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |         68 |     10,768 |        166 |      1,394 |     12,328 |
| . (Files)                                                                                            |          5 |      6,129 |          1 |          7 |      6,137 |
| src                                                                                                  |         63 |      4,639 |        165 |      1,387 |      6,191 |
| src (Files)                                                                                          |          2 |         65 |          0 |         16 |         81 |
| src\assets                                                                                           |         26 |      2,464 |         81 |        980 |      3,525 |
| src\assets\img                                                                                       |          1 |          1 |          0 |          0 |          1 |
| src\assets\style                                                                                     |         25 |      2,463 |         81 |        980 |      3,524 |
| src\assets\style (Files)                                                                             |          1 |         24 |          4 |          7 |         35 |
| src\assets\style\base                                                                                |          7 |        901 |         19 |        364 |      1,284 |
| src\assets\style\cmps                                                                                |         12 |        913 |         35 |        361 |      1,309 |
| src\assets\style\pages                                                                               |          5 |        625 |         23 |        248 |        896 |
| src\cmps                                                                                             |         14 |        972 |          1 |        178 |      1,151 |
| src\pages                                                                                            |          5 |        419 |         10 |         72 |        501 |
| src\services                                                                                         |         11 |        446 |         73 |        104 |        623 |
| src\store                                                                                            |          5 |        273 |          0 |         37 |        310 |
| src\store (Files)                                                                                    |          1 |         13 |          0 |          5 |         18 |
| src\store\actions                                                                                    |          2 |        154 |          0 |         21 |        175 |
| src\store\reducers                                                                                   |          2 |        106 |          0 |         11 |        117 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                             | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\eslint.config.js                              | JavaScript     |         37 |          0 |          2 |         39 |
| c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\index.html                                    | HTML           |         13 |          0 |          1 |         14 |
| c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\package-lock.json                             | JSON           |      6,035 |          0 |          1 |      6,036 |
| c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\package.json                                  | JSON           |         39 |          0 |          1 |         40 |
| c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\CreateRoot.jsx                            | JavaScript JSX |         13 |          0 |          5 |         18 |
| c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\Main.jsx                                  | JavaScript JSX |         52 |          0 |         11 |         63 |
| c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\assets\img\logo.svg                       | XML            |          1 |          0 |          0 |          1 |
